it,walltime,rhf,slope,potential,note
1,0.161334,1.027412,-0.110416,482910.248,DeepLLL-4
2,0.277290,1.027411,-0.104881,475179.664,DeepLLL-4
3,0.476494,1.027411,-0.100374,468877.842,DeepLLL-4
4,0.656059,1.027411,-0.096494,463453.959,DeepLLL-4
5,0.815278,1.027411,-0.092667,458103.457,DeepLLL-4
6,0.938001,1.027411,-0.089238,453308.492,DeepLLL-4
7,1.098014,1.027411,-0.086044,448843.354,DeepLLL-4
8,1.282568,1.025499,-0.082808,444319.174,DeepLLL-4
9,1.470020,1.025499,-0.079991,440381.389,DeepLLL-4
10,1.625100,1.024108,-0.077204,436484.081,DeepLLL-4
11,1.806045,1.024108,-0.074812,433139.811,DeepLLL-4
12,1.985544,1.022876,-0.072446,429833.160,DeepLLL-4
13,2.118940,1.022876,-0.070462,427059.221,DeepLLL-4
14,2.279332,1.021614,-0.068500,424316.147,DeepLLL-4
15,2.453998,1.021614,-0.066785,421917.301,DeepLLL-4
16,2.590753,1.020580,-0.065059,419505.054,DeepLLL-4
17,2.674318,1.020580,-0.063600,417464.651,DeepLLL-4
18,2.842059,1.019645,-0.062113,415386.417,DeepLLL-4
19,2.963001,1.019645,-0.060827,413588.441,DeepLLL-4
20,3.069720,1.019400,-0.059630,411914.123,DeepLLL-4
21,3.203888,1.019400,-0.058485,410314.328,DeepLLL-4
22,3.319958,1.018564,-0.057371,408756.149,DeepLLL-4
24,3.554772,1.018272,-0.055646,406345.457,DeepLLL-4
26,3.782434,1.017774,-0.054135,404232.723,DeepLLL-4
28,4.015293,1.017542,-0.052787,402348.146,DeepLLL-4
30,4.261212,1.016908,-0.051737,400879.529,DeepLLL-4
32,4.442320,1.016630,-0.050713,399447.863,DeepLLL-4
35,4.828349,1.016630,-0.049430,397653.821,DeepLLL-4
40,5.314506,1.016275,-0.048192,395923.104,DeepLLL-4
46,5.940360,1.015937,-0.047193,394526.735,DeepLLL-4
52,6.609390,1.015279,-0.046462,393504.592,DeepLLL-4
61,7.349007,1.015254,-0.045710,392454.037,DeepLLL-4
68,8.136054,1.015198,-0.045138,391653.771,DeepLLL-4
77,9.057240,1.014791,-0.044658,390982.504,DeepLLL-4
88,9.996303,1.014791,-0.044141,390259.971,DeepLLL-4
96,11.024937,1.014567,-0.043836,389833.307,DeepLLL-4
110,12.171055,1.014567,-0.043446,389287.658,DeepLLL-4
114,22.817705,1.014077,-0.043304,389089.816,BKZ-64
135,35.050208,1.014077,-0.042638,388158.062,BKZ-64
144,44.866449,1.013643,-0.042351,387757.640,BKZ-64
153,55.044492,1.013643,-0.042091,387393.476,BKZ-64
157,66.596825,1.013643,-0.041813,387005.324,BKZ-64
168,82.112975,1.013643,-0.041544,386628.552,BKZ-64
175,94.677547,1.013643,-0.041367,386381.826,BKZ-64
181,108.921127,1.013643,-0.041089,385993.222,BKZ-64
191,120.859545,1.013643,-0.040888,385711.658,BKZ-64
196,134.790182,1.013643,-0.040694,385441.209,BKZ-64
208,152.873969,1.013622,-0.040418,385054.503,BKZ-64
228,173.099186,1.013433,-0.040082,384584.754,BKZ-64
232,192.345972,1.013433,-0.039913,384348.743,BKZ-64
250,220.060561,1.013305,-0.039397,383627.939,BKZ-64
268,248.302177,1.013025,-0.039107,383221.521,BKZ-64
288,281.075523,1.012929,-0.038703,382657.321,BKZ-64
305,313.634115,1.012929,-0.038176,381920.214,BKZ-64
319,334.714460,1.012448,-0.038032,381719.300,DeepLLL-4
