it,walltime,rhf,slope,potential,note
1,0.034611,1.026598,-0.090886,55904.349,DeepLLL-4
2,0.092149,1.021886,-0.076454,53382.436,DeepLLL-4
3,0.120970,1.021886,-0.068611,52011.882,DeepLLL-4
4,0.220325,1.018460,-0.060909,50665.818,DeepLLL-4
5,0.288970,1.018460,-0.056794,49946.719,DeepLLL-4
6,0.339882,1.016765,-0.052555,49205.944,DeepLLL-4
7,0.410961,1.016765,-0.050557,48856.820,DeepLLL-4
8,0.425996,1.016143,-0.049513,48674.473,DeepLLL-4
9,0.526817,1.016143,-0.048416,48482.642,DeepLLL-4
10,0.553020,1.015325,-0.047323,48291.608,DeepLLL-4
11,0.649890,1.015325,-0.046787,48198.053,DeepLLL-4
14,0.718921,1.015192,-0.045603,47991.101,DeepLLL-4
17,0.796593,1.014931,-0.044580,47812.271,DeepLLL-4
20,3.764504,1.013538,-0.043362,47599.574,HKZ-64
22,4.956598,1.013538,-0.043102,47554.115,HKZ-64
26,6.254858,1.013115,-0.042715,47486.395,HKZ-64
32,6.339986,1.013115,-0.041713,47311.275,DeepLLL-4
35,7.579854,1.013115,-0.041309,47240.697,HKZ-64
42,9.014861,1.013016,-0.040807,47152.994,HKZ-64
45,10.250842,1.012954,-0.040648,47125.139,HKZ-64
51,11.500495,1.012687,-0.040314,47066.897,HKZ-64
56,12.680495,1.012687,-0.040072,47024.570,HKZ-64
60,14.949493,1.012687,-0.039965,47005.795,HKZ-64
68,16.450035,1.012687,-0.039851,46986.015,DeepLLL-4
75,18.890510,1.012687,-0.039740,46966.490,HKZ-64
79,21.209506,1.012687,-0.039713,46961.887,HKZ-64
83,23.488502,1.012687,-0.039558,46934.750,HKZ-64
90,26.954508,1.012448,-0.039248,46880.577,HKZ-64
101,30.537512,1.012448,-0.038713,46787.055,HKZ-64
107,34.047481,1.012448,-0.038686,46782.344,HKZ-64
116,37.610476,1.012448,-0.038091,46678.333,HKZ-64
128,42.391498,1.012448,-0.037772,46622.638,HKZ-64
138,47.061521,1.012448,-0.037457,46567.554,HKZ-64
150,51.839591,1.012448,-0.037069,46499.798,HKZ-64
163,57.622512,1.012448,-0.036694,46434.297,HKZ-64
175,63.389851,1.012448,-0.036294,46364.426,HKZ-64
191,70.308509,1.012448,-0.035919,46298.796,HKZ-64
205,78.402524,1.012448,-0.035796,46277.386,HKZ-64
208,79.535686,1.012448,-0.035744,46268.310,DeepLLL-4
