it,walltime,rhf,slope,potential,note
1,0.039482,1.026598,-0.090886,55904.349,DeepLLL-4
2,0.099461,1.021886,-0.076454,53382.436,DeepLLL-4
3,0.191389,1.021886,-0.068611,52011.882,DeepLLL-4
4,0.249420,1.018460,-0.060909,50665.818,DeepLLL-4
5,0.317383,1.018460,-0.056794,49946.719,DeepLLL-4
6,0.353602,1.016765,-0.052555,49205.944,DeepLLL-4
7,0.375821,1.016765,-0.050557,48856.820,DeepLLL-4
8,0.394575,1.016143,-0.049513,48674.473,DeepLLL-4
9,0.417568,1.016143,-0.048416,48482.642,DeepLLL-4
10,0.441635,1.015325,-0.047323,48291.608,DeepLLL-4
11,0.506528,1.015325,-0.046787,48198.053,DeepLLL-4
14,0.629971,1.015192,-0.045603,47991.101,DeepLLL-4
17,0.672613,1.014931,-0.044580,47812.271,DeepLLL-4
20,9.102353,1.013538,-0.042853,47510.599,HKZ-64
23,17.038044,1.013049,-0.041380,47253.172,HKZ-64
31,24.952345,1.011814,-0.040243,47054.411,HKZ-64
34,32.802378,1.011814,-0.039762,46970.339,HKZ-64
38,40.558048,1.011814,-0.038727,46789.473,HKZ-64
43,48.437027,1.011814,-0.038028,46667.364,HKZ-64
47,56.223032,1.011814,-0.037524,46579.262,HKZ-64
50,63.944043,1.011814,-0.036959,46480.563,HKZ-64
53,71.901028,1.011814,-0.036458,46393.085,HKZ-64
56,74.175168,1.011814,-0.036247,46356.082,DeepLLL-4
